Age,EdLevel,YearsCode,Country,Currency,LanguageHaveWorkedWith,Industry,OrgSize
18-24,Professional degree,4,Italy,EUR European Euro,C#;JavaScript;SQL,Software Development,10 to 19 employees
45-54,Secondary school,24,Germany,EUR European Euro,JavaScript;PHP;SQL,Manufacturing,2 to 9 employees
25-34,Bachelor’s degree,10,India,INR	Indian rupee,JavaScript;Rust,Software Development,"1,000 to 4,999 employees"
25-34,Attended college but no degree,7,Argentina,ARS	Argentine peso,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,7,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;Python;SQL,Software Development,"10,000 or more employees"
18-24,Master’s degree,4,India,INR	Indian rupee,Python,Software Development,100 to 499 employees
25-34,Master’s degree,11,France,EUR European Euro,Bash/Shell (all shells);Groovy;Java;JavaScript;PHP;Python;SQL;TypeScript,"Transportation, or Supply Chain",100 to 499 employees
45-54,Bachelor’s degree,37,UK and Northern Ireland,GBP	Pound sterling,Dart;HTML/CSS;JavaScript;PHP;Rust;TypeScript,Energy,20 to 99 employees
35-44,Professional degree,21,Germany,EUR European Euro,HTML/CSS;Java;JavaScript;Python,Retail and Consumer Services,100 to 499 employees
45-54,Bachelor’s degree,26,Brazil,BRL	Brazilian real,C;MATLAB;Python,"Transportation, or Supply Chain","10,000 or more employees"
45-54,Master’s degree,24,France,EUR European Euro,C;C++;Java;PHP;Python;SQL,Software Development,10 to 19 employees
35-44,Bachelor’s degree,5,China,CNY	Chinese Yuan Renminbi,HTML/CSS;JavaScript;PowerShell;Python;SQL,Manufacturing,2 to 9 employees
18-24,Bachelor’s degree,5,Italy,EUR European Euro,HTML/CSS;JavaScript;PHP;TypeScript,Software Development,2 to 9 employees
18-24,Bachelor’s degree,4,Turkey,TRY	Turkish lira,C#;HTML/CSS;JavaScript;SQL,Software Development,10 to 19 employees
25-34,Master’s degree,10,Netherlands,EUR European Euro,C#;HTML/CSS;SQL,Banking/Financial Services,500 to 999 employees
25-34,Professional degree,6,Peru,USD	United States dollar,Groovy;JavaScript;Kotlin;TypeScript,Software Development,"10,000 or more employees"
35-44,Bachelor’s degree,20,Germany,EUR European Euro,C#,"Internet, Telecomm or Information Services",20 to 99 employees
45-54,Bachelor’s degree,34,Canada,CAD	Canadian dollar,C#;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript;Visual Basic (.Net),Software Development,20 to 99 employees
35-44,Master’s degree,27,USA,USD	United States dollar,Bash/Shell (all shells);C#;Go;Java;JavaScript;PowerShell;Python;SQL,Banking/Financial Services,"10,000 or more employees"
35-44,Associate degree,5,Canada,CAD	Canadian dollar,Bash/Shell (all shells);Go;Python;Rust,Software Development,20 to 99 employees
35-44,Secondary school,30,Czech Republic,CZK	Czech koruna,C#;PowerShell;SQL;Visual Basic (.Net),Manufacturing,100 to 499 employees
18-24,Attended college but no degree,7,Bangladesh,BDT	Bangladeshi taka,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;R;TypeScript,Software Development,10 to 19 employees
35-44,Master’s degree,20,Germany,EUR European Euro,C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Swift;TypeScript,Retail and Consumer Services,500 to 999 employees
25-34,Bachelor’s degree,3,Egypt,EGP	Egyptian pound,C;C++;Dart;MATLAB;Python,Fintech,100 to 499 employees
25-34,Bachelor’s degree,12,Belgium,EUR European Euro,Bash/Shell (all shells);C#;Dart;Go;PowerShell;SQL;Swift;TypeScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,7,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;Kotlin;Lua;Python;Rust;SQL;Visual Basic (.Net),Government,100 to 499 employees
35-44,Bachelor’s degree,20,USA,USD	United States dollar,Bash/Shell (all shells);C#;Java;JavaScript;Lua;Python;SQL,Manufacturing,10 to 19 employees
35-44,Master’s degree,18,USA,USD	United States dollar,HTML/CSS;Java;JavaScript;Python;SQL,Fintech,100 to 499 employees
55-64,Bachelor’s degree,27,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;Visual Basic (.Net),Manufacturing,"10,000 or more employees"
35-44,Master’s degree,22,Chile,CLP	Chilean peso,Bash/Shell (all shells);Python;R;SQL,Retail and Consumer Services,100 to 499 employees
25-34,Attended college but no degree,12,Germany,EUR European Euro,Bash/Shell (all shells);Dart;PHP,Retail and Consumer Services,100 to 499 employees
35-44,Associate degree,5,Bulgaria,BGN	Bulgarian lev,C#;HTML/CSS;JavaScript;SQL,"Internet, Telecomm or Information Services",100 to 499 employees
25-34,Master’s degree,11,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);C;C++;Python,Banking/Financial Services,2 to 9 employees
35-44,Bachelor’s degree,15,UK and Northern Ireland,GBP	Pound sterling,C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Software Development,2 to 9 employees
35-44,Master’s degree,25,France,EUR European Euro,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;PHP;Rust;Scala;SQL,Fintech,100 to 499 employees
25-34,Bachelor’s degree,9,India,INR	Indian rupee,Bash/Shell (all shells);Go;Java;Lisp;Python;Ruby;Scala;SQL,Software Development,20 to 99 employees
25-34,Bachelor’s degree,9,Japan,JPY	Japanese yen,C#;GDScript;HTML/CSS;JavaScript;TypeScript,Media & Advertising Services,"5,000 to 9,999 employees"
35-44,Bachelor’s degree,10,USA,USD	United States dollar,Bash/Shell (all shells);Haskell;JavaScript;Kotlin;Lua;Python;Rust;SQL;TypeScript,Manufacturing,20 to 99 employees
45-54,Bachelor’s degree,18,Norway,NOK	Norwegian krone,Bash/Shell (all shells);Java;Kotlin;SQL,Government,20 to 99 employees
45-54,Attended college but no degree,40,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net),"Transportation, or Supply Chain",20 to 99 employees
25-34,Professional degree,18,Germany,EUR European Euro,Python,Software Development,100 to 499 employees
25-34,Master’s degree,12,Spain,EUR European Euro,C#;C++;HTML/CSS;JavaScript;Python;SQL,Higher Education,100 to 499 employees
25-34,Bachelor’s degree,13,Brazil,BRL	Brazilian real,HTML/CSS;Java;JavaScript;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Associate degree,15,South Africa,ZAR	South African rand,C#;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;SQL;Swift,"Internet, Telecomm or Information Services",10 to 19 employees
25-34,Bachelor’s degree,14,USA,USD	United States dollar,Apex;Bash/Shell (all shells);Kotlin;Python;Swift,Retail and Consumer Services,"1,000 to 4,999 employees"
25-34,Attended college but no degree,7,Argentina,ARS	Argentine peso,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,Software Development,"1,000 to 4,999 employees"
25-34,Attended college but no degree,8,Austria,EUR European Euro,Bash/Shell (all shells);C#;PowerShell;Python;Rust;SQL;VBA;Visual Basic (.Net),Manufacturing,10 to 19 employees
45-54,Master’s degree,12,Netherlands,EUR European Euro,Java;Kotlin,Software Development,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,15,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Software Development,"10,000 or more employees"
18-24,Bachelor’s degree,8,Romania,EUR European Euro,C#;C++;HTML/CSS;JavaScript;Lua;PHP;TypeScript,Media & Advertising Services,2 to 9 employees
35-44,Master’s degree,19,Czech Republic,CZK	Czech koruna,Python,Banking/Financial Services,20 to 99 employees
25-34,Attended college but no degree,12,Greece,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Kotlin;PowerShell;Ruby;Rust;TypeScript,Software Development,10 to 19 employees
25-34,Bachelor’s degree,9,India,INR	Indian rupee,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Software Development,500 to 999 employees
25-34,Attended college but no degree,5,Russian Federation,RUB	Russian ruble,Groovy;Rust,Software Development,"10,000 or more employees"
35-44,Master’s degree,10,Finland,EUR European Euro,C#;JavaScript;Python;Ruby;SQL;TypeScript,Software Development,500 to 999 employees
25-34,Bachelor’s degree,10,Germany,EUR European Euro,Go;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Healthcare,2 to 9 employees
25-34,Master’s degree,1,Italy,EUR European Euro,Dart;HTML/CSS;TypeScript,Software Development,2 to 9 employees
18-24,Master’s degree,10,France,EUR European Euro,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Retail and Consumer Services,20 to 99 employees
18-24,Bachelor’s degree,6,Romania,RON	Romanian leu,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Software Development,100 to 499 employees
35-44,Master’s degree,24,Italy,EUR European Euro,HTML/CSS;Java;JavaScript;Python;SQL,Software Development,"5,000 to 9,999 employees"
35-44,Bachelor’s degree,21,Austria,EUR European Euro,Java;SQL,Insurance,"10,000 or more employees"
35-44,Bachelor’s degree,15,Germany,EUR European Euro,Bash/Shell (all shells);Go;Java;PHP;SQL,Software Development,10 to 19 employees
25-34,Bachelor’s degree,12,USA,USD	United States dollar,HTML/CSS;Java;Kotlin;Objective-C;Swift;TypeScript,Banking/Financial Services,"10,000 or more employees"
25-34,Bachelor’s degree,10,India,INR	Indian rupee,C;Go;JavaScript;SQL;TypeScript,Fintech,100 to 499 employees
65+,Bachelor’s degree,50+,Germany,EUR European Euro,Bash/Shell (all shells);Elixir;Ruby,Manufacturing,2 to 9 employees
55-64,Master’s degree,35,USA,USD	United States dollar,HTML/CSS;JavaScript;MATLAB;Perl;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net),Government,"1,000 to 4,999 employees"
25-34,Master’s degree,10,Germany,EUR European Euro,C#;Go;Kotlin;TypeScript,Computer Systems Design and Services,20 to 99 employees
35-44,Bachelor’s degree,17,Netherlands,EUR European Euro,Ruby,Retail and Consumer Services,500 to 999 employees
25-34,Bachelor’s degree,10,Netherlands,EUR European Euro,C#;Delphi;F#;GDScript;TypeScript;Zig,Manufacturing,"1,000 to 4,999 employees"
35-44,Master’s degree,20,Germany,EUR European Euro,HTML/CSS;Java;JavaScript;TypeScript,Software Development,500 to 999 employees
25-34,Master’s degree,13,France,EUR European Euro,HTML/CSS;JavaScript;Python;TypeScript,Software Development,2 to 9 employees
45-54,Attended college but no degree,23,Spain,EUR European Euro,Bash/Shell (all shells);Java;Kotlin;Objective-C;Python;SQL;Swift,Software Development,100 to 499 employees
35-44,Attended college but no degree,35,Italy,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,Higher Education,20 to 99 employees
25-34,Bachelor’s degree,7,Mexico,MXN	Mexican peso,C;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Software Development,20 to 99 employees
18-24,Bachelor’s degree,8,USA,USD	United States dollar,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;Perl;PHP;PowerShell;Python;R;Scala;SQL;TypeScript,Software Development,"10,000 or more employees"
18-24,Bachelor’s degree,5,France,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python,Media & Advertising Services,20 to 99 employees
35-44,Master’s degree,20,China,CNY	Chinese Yuan Renminbi,C;C#;C++;HTML/CSS;Java;Python;R;SQL,Computer Systems Design and Services,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,12,Canada,CAD	Canadian dollar,TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,12,Germany,EUR European Euro,HTML/CSS;Java;JavaScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,10,Turkey,TRY	Turkish lira,C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Zig,Software Development,10 to 19 employees
25-34,Bachelor’s degree,11,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Master’s degree,15,Thailand,THB	Thai baht,Bash/Shell (all shells);Go;HTML/CSS;Java;Kotlin;Swift,Retail and Consumer Services,100 to 499 employees
25-34,Bachelor’s degree,8,Norway,NOK	Norwegian krone,Bash/Shell (all shells);GDScript;Go;Groovy;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Government,100 to 499 employees
18-24,Secondary school,4,USA,USD	United States dollar,C#;Go;HTML/CSS;Julia;SQL,Energy,20 to 99 employees
25-34,Professional degree,9,Brazil,BRL	Brazilian real,Go;JavaScript;TypeScript,Software Development,20 to 99 employees
35-44,Bachelor’s degree,19,USA,USD	United States dollar,Java;JavaScript;SQL,Fintech,20 to 99 employees
35-44,Bachelor’s degree,15,Turkey,TRY	Turkish lira,C#;Groovy;Java;JavaScript;Kotlin;MATLAB;Python;SQL;TypeScript,Software Development,10 to 19 employees
35-44,Bachelor’s degree,12,USA,USD	United States dollar,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA,Government,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,14,Mexico,MXN	Mexican peso,Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,"Transportation, or Supply Chain",100 to 499 employees
18-24,Secondary school,6,Germany,EUR European Euro,Java;PHP,"Internet, Telecomm or Information Services",20 to 99 employees
35-44,Bachelor’s degree,11,"Iran, Islamic Republic of...",IRR	Iranian rial,C;C#;C++;Dart;Erlang;HTML/CSS;JavaScript;SQL;TypeScript,Fintech,100 to 499 employees
25-34,Bachelor’s degree,15,Poland,PLN	Polish zloty,C++;Python,Manufacturing,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,5,Kenya,KES	Kenyan shilling,Kotlin;Python,Software Development,10 to 19 employees
25-34,Bachelor’s degree,8,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;SQL,Government,"1,000 to 4,999 employees"
55-64,Attended college but no degree,20,USA,USD	United States dollar,C#;JavaScript;SQL;Swift,Energy,"10,000 or more employees"
25-34,Bachelor’s degree,4,Portugal,EUR European Euro,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;Solidity;SQL;TypeScript,Banking/Financial Services,100 to 499 employees
25-34,Bachelor’s degree,11,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;SQL;TypeScript,Software Development,500 to 999 employees
55-64,Master’s degree,45,South Africa,ZAR	South African rand,Apex;Bash/Shell (all shells);Delphi;HTML/CSS;SQL,Software Development,2 to 9 employees
35-44,Bachelor’s degree,15,Kazakhstan,KZT	Kazakhstani tenge,C#;HTML/CSS;JavaScript;PowerShell,Software Development,500 to 999 employees
18-24,Professional degree,6,Dominican Republic,DOP	Dominican peso,Dart;HTML/CSS;JavaScript;Python,Government,2 to 9 employees
25-34,Bachelor’s degree,7,USA,USD	United States dollar,HTML/CSS;JavaScript;Python,Retail and Consumer Services,"10,000 or more employees"
35-44,Bachelor’s degree,15,USA,USD	United States dollar,Bash/Shell (all shells);SQL,Retail and Consumer Services,100 to 499 employees
25-34,Attended college but no degree,7,UK and Northern Ireland,GBP	Pound sterling,C;C#;F#;Kotlin;Rust,Banking/Financial Services,"5,000 to 9,999 employees"
45-54,Associate degree,26,France,EUR European Euro,C;C#;HTML/CSS;JavaScript;TypeScript,Software Development,500 to 999 employees
35-44,Secondary school,20,UK and Northern Ireland,USD	United States dollar,Bash/Shell (all shells);Clojure;Dart;Elixir;HTML/CSS;JavaScript;PHP;R;SQL;TypeScript,Software Development,2 to 9 employees
35-44,Bachelor’s degree,12,Netherlands,EUR European Euro,JavaScript;Ruby;TypeScript,Higher Education,20 to 99 employees
45-54,Master’s degree,42,Portugal,EUR European Euro,C#;HTML/CSS;Java;SQL;TypeScript,Software Development,100 to 499 employees
35-44,Master’s degree,18,France,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;SQL,Software Development,"10,000 or more employees"
35-44,Bachelor’s degree,22,USA,USD	United States dollar,C#;Dart;JavaScript;Kotlin;SQL,Manufacturing,100 to 499 employees
25-34,Primary/elementary school,12,Italy,EUR European Euro,C++;JavaScript;MicroPython;PHP;SQL;TypeScript,Software Development,2 to 9 employees
35-44,Bachelor’s degree,20,USA,USD	United States dollar,HTML/CSS;JavaScript;TypeScript,Government,10 to 19 employees
25-34,Master’s degree,14,Mexico,MXN	Mexican peso,Bash/Shell (all shells);C;Clojure;Haskell;HTML/CSS;Lisp;TypeScript,Fintech,10 to 19 employees
55-64,Bachelor’s degree,40,USA,USD	United States dollar,Bash/Shell (all shells);C;C++;Go;Java;JavaScript;SQL,Manufacturing,"10,000 or more employees"
55-64,Professional degree,48,Germany,EUR European Euro,Java;JavaScript;Python;TypeScript,Software Development,100 to 499 employees
25-34,Attended college but no degree,7,Israel,ILS	Israeli new shekel,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Internet, Telecomm or Information Services",Self-employed
18-24,Bachelor’s degree,11,USA,USD	United States dollar,Go;JavaScript,Media & Advertising Services,10 to 19 employees
18-24,Bachelor’s degree,6,USA,USD	United States dollar,Dart;HTML/CSS;JavaScript;PowerShell,Manufacturing,20 to 99 employees
35-44,Master’s degree,18,France,EUR European Euro,Assembly;Bash/Shell (all shells);C;Lua;Zig,Computer Systems Design and Services,10 to 19 employees
25-34,Attended college but no degree,12,France,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Software Development,100 to 499 employees
18-24,Associate degree,6,Sweden,SEK	Swedish krona,C#;HTML/CSS;JavaScript;SQL;TypeScript,Fintech,20 to 99 employees
25-34,Bachelor’s degree,5,Nigeria,NGN	Nigerian naira,Bash/Shell (all shells);C#;Java;Kotlin;R;SQL;TypeScript,Banking/Financial Services,20 to 99 employees
25-34,Bachelor’s degree,10,Austria,EUR European Euro,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Zephyr,Healthcare,2 to 9 employees
25-34,Bachelor’s degree,14,Brazil,BRL	Brazilian real,Bash/Shell (all shells);C;C#;C++;Elixir;Erlang;Groovy;Haskell;HTML/CSS;JavaScript;Kotlin;Lua;Perl;Python;Ruby;Rust;TypeScript,"Internet, Telecomm or Information Services",100 to 499 employees
35-44,Bachelor’s degree,27,Italy,EUR European Euro,Assembly;Bash/Shell (all shells);Cobol;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;VBA,Manufacturing,100 to 499 employees
25-34,Master’s degree,7,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;TypeScript,Energy,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,15,Italy,EUR European Euro,Assembly;Bash/Shell (all shells);C;C++;Groovy;Java;JavaScript;Kotlin;Python;Rust,Media & Advertising Services,100 to 499 employees
35-44,Master’s degree,18,Poland,PLN	Polish zloty,JavaScript,Insurance,100 to 499 employees
65+,Bachelor’s degree,30,USA,USD	United States dollar,Bash/Shell (all shells);Dart;Go;Perl;SQL,Government,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,5,India,INR	Indian rupee,HTML/CSS;JavaScript;PHP;Python;SQL,Software Development,2 to 9 employees
25-34,Bachelor’s degree,7,USA,USD	United States dollar,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Master’s degree,10,USA,USD	United States dollar,C#;Python,Manufacturing,100 to 499 employees
25-34,Attended college but no degree,22,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);C#;Delphi;Groovy;HTML/CSS;Java;JavaScript;Python;Rust;SQL;Swift;TypeScript,Insurance,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,17,Israel,ILS	Israeli new shekel,Go;SQL,Software Development,500 to 999 employees
25-34,Bachelor’s degree,10,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Software Development,20 to 99 employees
35-44,Bachelor’s degree,23,Turkey,USD	United States dollar,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Fintech,2 to 9 employees
45-54,Associate degree,5,Canada,CAD	Canadian dollar,C#;HTML/CSS;JavaScript;TypeScript,Software Development,100 to 499 employees
25-34,Bachelor’s degree,4,Brazil,BRL	Brazilian real,C#;JavaScript;Python;SQL;TypeScript,Energy,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,21,Costa Rica,USD	United States dollar,C#;HTML/CSS;TypeScript,"Transportation, or Supply Chain",10 to 19 employees
25-34,Bachelor’s degree,10,USA,USD	United States dollar,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;Python;Solidity;SQL,Software Development,"1,000 to 4,999 employees"
45-54,Attended college but no degree,26,USA,USD	United States dollar,C#;HTML/CSS;PowerShell;Python;SQL,Fintech,"1,000 to 4,999 employees"
18-24,Secondary school,7,India,INR	Indian rupee,C;C++;Dart;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Healthcare,2 to 9 employees
35-44,Bachelor’s degree,20,Colombia,USD	United States dollar,C;C++;HTML/CSS;JavaScript;Julia;Perl;PHP;Python;SQL,Software Development,2 to 9 employees
25-34,Bachelor’s degree,10,USA,USD	United States dollar,Bash/Shell (all shells);Go;Groovy;HTML/CSS;JavaScript;PowerShell;Python;R;Rust;SQL;TypeScript;Zig,Software Development,20 to 99 employees
25-34,Bachelor’s degree,12,Spain,EUR European Euro,Bash/Shell (all shells);C;C#;C++;Go;Groovy;Java;MATLAB;PowerShell;Python;TypeScript;VBA,Software Development,2 to 9 employees
55-64,Bachelor’s degree,49,Viet Nam,VND	Vietnamese dong,Bash/Shell (all shells);Clojure,Software Development,2 to 9 employees
25-34,Bachelor’s degree,10,Pakistan,PKR	Pakistani rupee,HTML/CSS;JavaScript,Software Development,100 to 499 employees
25-34,Bachelor’s degree,6,Belarus,USD	United States dollar,C#;JavaScript;SQL;TypeScript,Media & Advertising Services,"1,000 to 4,999 employees"
45-54,Master’s degree,29,Austria,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;Python;Scala;SQL,Fintech,500 to 999 employees
35-44,Bachelor’s degree,19,USA,USD	United States dollar,Apex;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Higher Education,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,10,Germany,EUR European Euro,Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Software Development,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,14,Nigeria,NGN	Nigerian naira,C#;Dart;Java;Kotlin;SQL,Fintech,100 to 499 employees
18-24,Bachelor’s degree,4,India,INR	Indian rupee,C++;Java;TypeScript,Software Development,100 to 499 employees
18-24,Bachelor’s degree,6,Czech Republic,CZK	Czech koruna,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Media & Advertising Services,100 to 499 employees
35-44,Attended college but no degree,21,Italy,EUR European Euro,C#;PowerShell;SQL;TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,17,Japan,JPY	Japanese yen,Bash/Shell (all shells);Elixir;Go;Python,Software Development,500 to 999 employees
18-24,Secondary school,5,Honduras,HNL	Honduran lempira,C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Healthcare,20 to 99 employees
25-34,Master’s degree,6,Sweden,SEK	Swedish krona,C;Python,Software Development,100 to 499 employees
45-54,Master’s degree,36,USA,USD	United States dollar,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PHP;SQL,Government,"1,000 to 4,999 employees"
18-24,Attended college but no degree,5,USA,USD	United States dollar,C#;HTML/CSS;Java;JavaScript;PHP;Python,Software Development,2 to 9 employees
25-34,Bachelor’s degree,10,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;SQL;TypeScript,"Transportation, or Supply Chain",500 to 999 employees
25-34,Bachelor’s degree,8,Norway,NOK	Norwegian krone,Java;Rust;SQL,Fintech,"10,000 or more employees"
45-54,Bachelor’s degree,28,USA,USD	United States dollar,C#;JavaScript;TypeScript,Healthcare,100 to 499 employees
25-34,Bachelor’s degree,10,India,INR	Indian rupee,Clojure;Go;Scala,Software Development,"1,000 to 4,999 employees"
45-54,Attended college but no degree,30,Argentina,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL,"Internet, Telecomm or Information Services",10 to 19 employees
35-44,Master’s degree,21,El Salvador,USD	United States dollar,HTML/CSS;JavaScript;PHP;SQL,Manufacturing,20 to 99 employees
35-44,Attended college but no degree,16,USA,USD	United States dollar,Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Python;SQL;TypeScript,Software Development,"10,000 or more employees"
35-44,Master’s degree,16,UK and Northern Ireland,GBP	Pound sterling,HTML/CSS;JavaScript;PHP,"Internet, Telecomm or Information Services",100 to 499 employees
18-24,Bachelor’s degree,6,USA,USD	United States dollar,Assembly;C++;Fortran;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,Government,100 to 499 employees
45-54,Bachelor’s degree,26,USA,USD	United States dollar,C;C#;C++;PowerShell,Software Development,"10,000 or more employees"
18-24,Professional degree,6,Germany,EUR European Euro,HTML/CSS;Java;JavaScript;PHP;Python;SQL,Software Development,500 to 999 employees
25-34,Bachelor’s degree,7,India,INR	Indian rupee,Go;Python,Software Development,100 to 499 employees
35-44,Bachelor’s degree,6,Ireland,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;TypeScript,"Transportation, or Supply Chain",10 to 19 employees
35-44,Bachelor’s degree,15,USA,USD	United States dollar,Go;Perl;SQL,Retail and Consumer Services,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,11,Netherlands,EUR European Euro,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lua;PHP;SQL;TypeScript,Healthcare,2 to 9 employees
35-44,Bachelor’s degree,22,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Bachelor’s degree,10,Turkey,TRY	Turkish lira,Java;Kotlin,Fintech,"1,000 to 4,999 employees"
25-34,Master’s degree,15,India,INR	Indian rupee,Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Rust;SQL;Visual Basic (.Net),Software Development,20 to 99 employees
45-54,Associate degree,19,Canada,CAD	Canadian dollar,Elixir;HTML/CSS;Kotlin;Ruby,Healthcare,100 to 499 employees
25-34,Bachelor’s degree,15,Brazil,BRL	Brazilian real,C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
25-34,Associate degree,4,Spain,EUR European Euro,JavaScript;TypeScript,Healthcare,100 to 499 employees
55-64,Professional degree,35,USA,USD	United States dollar,C++;HTML/CSS;Java;Python;R;SQL,Healthcare,100 to 499 employees
45-54,Master’s degree,20,Peru,USD	United States dollar,HTML/CSS;JavaScript;Ruby;SQL,Software Development,20 to 99 employees
25-34,Master’s degree,11,Germany,EUR European Euro,JavaScript;Kotlin;Python;TypeScript,"Transportation, or Supply Chain","10,000 or more employees"
25-34,Bachelor’s degree,4,USA,USD	United States dollar,HTML/CSS;JavaScript;Python;TypeScript,Higher Education,100 to 499 employees
25-34,Attended college but no degree,14,India,INR	Indian rupee,C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift;TypeScript,Software Development,2 to 9 employees
25-34,Bachelor’s degree,12,Norway,NOK	Norwegian krone,C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Fintech,20 to 99 employees
35-44,Bachelor’s degree,25,USA,USD	United States dollar,C#;F#;HTML/CSS;JavaScript;Kotlin;Rust;TypeScript,Software Development,"10,000 or more employees"
